budget,revenue,original_title,director,keywords,runtime,genres,production_companies,vote_count,vote_average,release_year
30000000,64626786,The Darkest Hour,Chris Gorak,alien invasion|american abroad|moscow|unlikely heroes|failed business,89,Horror|Action|Thriller|Science Fiction,Summit Entertainment|Regency Enterprises|Bazelevs Production|The Jacobson Company|New Regency Pictures,309,4.7,2011
25000000,124272124,The Help,Tate Taylor,mississippi|based on novel|exploitation|racial segregation|racism,146,Drama,DreamWorks SKG|1492 Pictures|Participant Productions|Imagenation Abu Dhabi FZ|Reliance Entertainment,1056,7.6,2011
25000000,77278331,The Grey,Joe Carnahan,alcohol|isolation|wolf|wilderness|stranded,117,Action|Drama|Thriller,Scott Free Productions|1984 Private Defense Contractors|LD Entertainment|Open Road Films|Inferno Distribution,955,6.3,2011
50000000,110206216,Moneyball,Bennett Miller,underdog|based on novel|baseball|teamwork|partner,133,Drama,Columbia Pictures|Scott Rudin Productions,899,6.9,2011
7000000,6038942,We Need to Talk About Kevin,Lynne Ramsay,suburb|violence|killing spree|prison visit|guinea pig,112,Drama|Thriller,BBC Films,345,7.3,2011
16000000,40492759,The Roommate,Christian E. Christiansen,jealousy|roommate|obsession|campus|love,91,Thriller|Drama|Horror,Vertigo Entertainment|Screen Gems,133,5.5,2011
130000000,554987477,Puss in Boots,Chris Miller,adventure|fairy-tale figure,90,Action|Adventure|Animation|Family|Fantasy,DreamWorks,48,6.9,2011
30000000,0,Tinker Tailor Soldier Spy,Tomas Alfredson,spy|cold war|spying|espionage|mole,127,Drama|Thriller|Mystery,StudioCanal|Kinowelt Filmproduktion|Canal+|CinÃ©CinÃ©ma|Working Title Films,490,6.5,2011
120000000,227817248,The Green Hornet,Michel Gondry,bomb|martial arts|assassin|vandalism|nightclub,119,Action|Crime|Comedy,Original Film|Sony Pictures Entertainment|Reliance BIG Entertainment,854,5.4,2011
35000000,59901913,Something Borrowed,Luke Greenfield,new york|alcohol|based on novel|secret|cheating,112,Comedy|Drama|Romance,Alcon Entertainment|Wild Ocean Films|2S Films,180,6.0,2011
90000000,48795021,Conan the Barbarian,Marcus Nispel,sword|slavery|princess|remake|revenge,113,Adventure|Fantasy|Action,Dark Horse Entertainment|Nu Image Films|Paradox Entertainment|Nimar Studios|Millennium Films,382,5.2,2011
0,0,A Cinderella Story: Once Upon a Song,Damon Santostefano,cinderella|music|high school|aspiring singer|orphan,88,Comedy|Family|Romance,Warner Premiere,140,6.1,2011
45000000,160078586,Johnny English Reborn,Oliver Parker,buddhist monk|cooking|prime minister|kitchen|secret agent,101,Crime|Adventure|Action|Comedy|Thriller,Universal Pictures,689,6.0,2011
60000000,135458097,Contagion,Steven Soderbergh,saving the world|mutation|infection|terminal illness|quarantine,106,Drama|Thriller|Science Fiction,Double Feature Films|Regency Enterprises|Warner Bros.|Participant Media|Imagenation Abu Dhabi FZ,852,6.1,2011
0,0,Dragons: Gift of the Night Fury,Tom Owens,draghi,22,Animation|Comedy|Adventure,DreamWorks Animation,85,6.6,2011
41000000,7448385,The Big Year,David Frankel,helicopter|based on novel|honeymoon|airplane|birding,100,Comedy,Ingenious Media|Dune Entertainment|Fox 2000 Pictures|Deuce Three Productions|Sunswept Entertainment,152,5.4,2011
17000000,43165571,Beastly,Daniel Barnz,based on novel|love|beautiful woman|curse|teenager,86,Drama|Fantasy|Romance,CBS Films|Mel's Cite du Cinema|Storefront Films,507,6.0,2011
19000000,35387212,A Very Harold & Kumar Christmas,Todd Strauss-Schulson,holiday|beer|christmas tree|cannabis|sequel,108,Comedy,New Line Cinema|Mandate Pictures,186,6.0,2011
35000000,28128670,The Thing,Matthijs van Heijningen Jr.,paranoia|research station|prequel|antarctica|blizzard,103,Horror|Science Fiction|Mystery|Thriller,Universal Pictures|Strike Entertainment|Morgan Creek Productions,479,6.0,2011
75000000,152930623,Tower Heist,Brett Ratner,skyscraper|thanksgiving|billionaire|parade|fbi agent,104,Action|Comedy,Universal Pictures|Image Entertainment|Relativity Media|Rat Entertainment,588,5.8,2011
56000000,142044638,New Year's Eve,Garry Marshall,new year's eve|illustrator|caterer|pedicab|ticket,118,Comedy|Romance,New Line Cinema,479,5.6,2011
49900000,26121638,Your Highness,David Gordon Green,kidnapper|traitor|virgin|prince|princess,102,Adventure|Fantasy|Action|Comedy,Universal Pictures|Stuber Productions,289,5.1,2011
3500000,0,All Star Superman,Sam Liu,dc comics|superhero|super powers|superhuman strength,76,Animation|Action|Adventure,DC Comics|Warner Bros. Animation,66,6.9,2011
4000000,0,Samsara,Ron Fricke,eating|around the world|fast motion scene|balance|skyline,102,Drama|Documentary,Magidson Films,83,7.9,2011
0,0,Honey 2,Bille Woodruff,competition|dance|sequel|dance crew,110,Drama|Music|Comedy,Universal Pictures|Marc Platt Productions|MFV Productions|Reel Deal Entertainment,60,5.8,2011
5000000,25562924,Apollo 18,Gonzalo LÃ³pez-Gallego,moon|nasa|infection|barbecue|moon landing,86,Horror|Thriller|Science Fiction,Bazelevs Production|Dimension Films|Bekmambetov Projects Ltd.,205,4.9,2011
17000000,24922237,Fright Night,Craig Gillespie,sunrise|suspicion|remake|suburbia,106,Horror|Comedy,Touchstone Pictures,328,6.1,2011
130000000,150406466,Happy Feet Two,George Miller,penguin|digit in title|aftercreditsstinger|3d,100,Music|Family|Animation|Comedy,Village Roadshow Pictures|Warner Bros.|Dr D Studios|Kennedy Miller Mitchell,232,5.8,2011
40000000,97138686,Scream 4,Wes Craven,sheriff|book|knife|horror|rescue,111,Horror|Mystery,Dimension Films,499,6.0,2011
150000000,38992758,Mars Needs Moms,Simon Wells,boy|alien|rescue|martian|alien abduction,88,Adventure|Animation|Family,Walt Disney Animation Studios,129,5.5,2011
14350531,3964682,Attack the Block,Joe Cornish,street gang|fireworks|chase|meteor|playground,88,Action|Comedy|Science Fiction,UK Film Council|Studio Canal|Film4,427,6.4,2011
21000000,72417394,Diary of a Wimpy Kid: Rodrick Rules,David Bowers,based on novel|character name in title|middle school,99,Family|Comedy,Fox 2000 Pictures|Color Force,127,6.4,2011
40000000,55247881,Extremely Loud & Incredibly Close,Stephen Daldry,based on novel|key|scavenger hunt|death of father|young boy,129,Drama,Paramount Pictures|Scott Rudin Productions|Warner Bros.,463,7.0,2011
0,0,Battle of Los Angeles,Mark Atkins,android|pilot|spaceship|alien|ninjas,91,Science Fiction|Thriller,The Asylum|The Global Asylum,35,3.9,2011
21000000,970816,The Beaver,Jodie Foster,puppet|woman director,91,Drama,Summit Entertainment|Participant Media|Imagenation Abu Dhabi FZ|Anonymous Content,144,6.0,2011
25000000,10324441,Straw Dogs,Rod Lurie,southern u.s.|rape|bar|barn|machismo,110,Thriller,Battleplan Productions,75,5.3,2011
10000000,136836156,The Best Exotic Marigold Hotel,John Madden,jaipur india|telemarketer|telemarketing|gay man|personal growth,124,Drama|Comedy,Participant Media|Imagenation Abu Dhabi FZ,310,6.8,2011
110000000,563749323,The Smurfs,Raja Gosnell,moon|magic wand|based on comic book|good vs evil|smurf,103,Animation|Family|Adventure|Comedy|Fantasy,Columbia Pictures|Sony Pictures Animation|Kerner Entertainment Company,797,5.5,2011
0,908000,Perfect Sense,David Mackenzie,narration|one-night stand|cigarette|insomnia|memory,92,Drama|Science Fiction|Romance,Zentropa Entertainments|BBC Films|Scottish Screen|Danish Filminstitute|Film i VÃ¤st,146,6.7,2011
30000000,63782078,Hanna,Joe Wright,assassin|self sacrifice|strip club|secret agent|training,111,Action|Thriller|Adventure,Focus Features|Neunte Babelsberg Film|Focus Features|Holleran Company|Sechzehnte Babelsberg Film,804,6.5,2011
0,15699707,Hodejegerne,Morten Tyldum,death of lover|art thief|art gallery|police investigation,100,Thriller|Crime,Nordisk Film|Yellow Bird Films|Friland Produksjon|ARD Degeto Film,257,7.0,2011
12468389,29007412,A Few Best Men,Stephan Elliott,drug dealer|best friend|wedding|australian outback,97,Comedy,Parabolic Pictures|Stable Way Entertainment|Quickfire Films|Screen Australia|Screen NSW,87,5.7,2011
10000000,0,Sleeping Beauty,Julia Leigh,prostitute|eroticism|limousine|sadomasochism|student,102,Drama|Romance,Screen Australia|Screen NSW|Fulcrum Media Finance|Spectrum Films|Magic Films,100,5.4,2011
0,864659,Submarine,Richard Ayoade,beach|wales|friendship|bullying|teenage girl,97,Drama|Comedy|Romance,Film4|Film Agency for Wales|Red Hour Films|Warp (Submarine)|Warp Films,252,7.4,2011
5000000,3142154,Flypaper,Rob Minkoff,shootout|dead woman|bank robbery,87,Mystery|Comedy|Crime,Rising Star|The Safran Company|Foresight Unlimited|Shifting Gears Entertainment,153,6.1,2011
3500000,19504039,Margin Call,J.C. Chandor,capitalism|brokerage|wall street|downsizing|financial crisis,107,Thriller|Drama,Benaroya Pictures|Before the Door Pictures|Washington Square Films|Untitled Entertainment,313,6.6,2011
36000000,189712432,Gnomeo & Juliet,Kelly Asbury,shakespeare|garden|forbidden love|kiss|garden gnome,84,Animation|Family,Starz Animation|Touchstone Pictures,335,5.7,2011
15774948,741875,Blitz,Elliott Lester,based on novel|character name in title|police detective,97,Crime|Action|Thriller,Davis-Films|Current Entertainment|Lionsgate|Lipsync Productions|Blitz Films,309,6.0,2011
0,6861102,Cedar Rapids,Miguel Arteta,hotel|infidelity|one-night stand|friendship|swimming pool,87,Comedy,Ad Hominem Enterprises,71,5.7,2011
20000000,177243185,The Descendants,Alexander Payne,hawaii|father-in-law|cheating wife|beach house|daughters,115,Comedy|Drama,Fox Searchlight Pictures|Dune Entertainment|Ad Hominem Enterprises,590,6.6,2011
63000000,183953723,Hop,Tim Hill,coup d'etat|slacker|easter|easter bunny|aftercreditsstinger,95,Animation,Universal Pictures|Illumination Entertainment,228,5.4,2011
45000000,24000000,The Rum Diary,Bruce Robinson,alcohol|puerto rico|tv debate|fire breathing|vomiting,120,Drama|Comedy,FilmEngine|Infinitum Nihil|GK Films,234,5.5,2011
10000000,0,Detention,Joseph Kahn,high school|murder|slasher|horror spoof,93,Horror|Comedy|Science Fiction,Detention Films,70,5.9,2011
6000000,19560274,The Guard,John Michael McDonagh,prostitute|blackmail|drug smuggle|rural ireland|dry humour,96,Action|Comedy|Thriller|Crime,UK Film Council|Crescendo Productions|Element Pictures|Irish Film Board|Prescience,194,6.6,2011
10000000,17273593,Our Idiot Brother,Jesse Peretz,brother sister relationship|sister sister relationship|family clan|idealist|duringcreditsstinger,90,Comedy|Drama,The Weinstein Company,199,5.7,2011
10000000,610986,The Ledge,Matthew Chapman,adultery|wife husband relationship|infidelity|christian|prayer,101,Drama|Thriller,Rising Star|Foresight Unlimited|VIP Media Group|Michael Mailer Films|Ledge Productions,44,5.7,2011
24000000,63543328,Footloose,Craig Brewer,dancing|dancer|dance|music|prom,113,Drama|Music|Romance,Spyglass Entertainment|MTV Films,266,6.5,2011
0,1296937,A Little Bit of Heaven,Nicole Kassell,workplace|cancer|co-worker|dog allergy|doctor patient relationship,106,Comedy|Drama|Romance,Davis Entertainment|The Film Department|MJW Films,134,6.2,2011
36000000,9612469,Trespass,Joel Schumacher,robbery|wife husband relationship|cocaine|knife|betrayal,91,Crime|Drama|Thriller,Nu Image Films|Winkler Films|Millennium Films,179,5.3,2011
25000000,27603069,Carnage,Roman Polanski,flat|mobile phone|hamster|insult|black comedy,80,Comedy|Drama,Wild Bunch|Zanagar Films|Canal+|Constantin Film Produktion|CinÃ©CinÃ©ma,382,6.9,2011
100000,1776935,Another Earth,Mike Cahill,earth|tragedy|janitor|planet|duplicate,92,Drama|Science Fiction,Artists Public Domain,299,6.8,2011
12500000,75993061,The Ides of March,George Clooney,ohio|politics|dirty tricks|presidential campaign|endorsement,101,Drama,Appian Way|Crystal City Entertainment|Cross Creek Pictures|Exclusive Media Group|Smokehouse Pictures,591,6.4,2011
195000000,1123746996,Transformers: Dark of the Moon,Michael Bay,moon|spacecraft|traitor|bodyguard|fighter jet,154,Action|Science Fiction|Adventure,Paramount Pictures|Di Bonaventura Pictures|Hasbro|Indochina Productions,2456,6.1,2011
5000000,205703818,Paranormal Activity 3,Henry Joost|Ariel Schulman,witch|sister sister relationship|sequel|prequel|haunting,83,Horror,Paramount Pictures|Blumhouse Productions|Room 101|Solana Films,406,6.0,2011
13000000,0,Intruders,Juan Carlos Fresnadillo,suspense|construction site|protective father,100,Horror|Thriller|Drama,Universal Pictures International (UPI)|Antena 3 Films|Apaches Entertainment|Canal+ EspaÃ±a|Ministerio de Cultura,83,5.2,2011
70000000,67112664,The Dilemma,Ron Howard,adultery|infidelity|secret|investigation|friendship,111,Comedy|Drama,Imagine Entertainment|Universal Pictures|Spyglass Entertainment|Wild West Picture Show Productions,204,5.2,2011
19000000,6928068,Take Me Home Tonight,Michael Dowse,becoming an adult|lie|night|sister|job,97,Comedy|Drama|Romance,Imagine Entertainment|Rogue Pictures|Relativity Media|Internationale Filmproduktion Blackbird Dritte,120,6.3,2011
0,9504139,Hysteria,Tanya Wexler,doctor|masturbation|court trial|horny female|sexually empowered woman,100,Comedy|Romance,Arte France CinÃ©ma|Forthcoming Productions|Beachfront Films|Chimera Films LLC|Informant Media,131,6.5,2011
0,14347000,You're Next,Adam Wingard,greed|family dinner|gore|masked killer|massacre,95,Horror|Thriller|Mystery,HanWay Films|Snoot Entertainment,445,6.6,2011
4000000,25345000,A Lonely Place to Die,Julian Gilbey,terror|scotland|kidnapper|nudity|wilderness,99,Adventure|Action|Thriller|Crime,Carnaby International|Molinare Studios|Eigerwand Pictures,77,6.1,2011
45000000,165184237,The Muppets,James Bobin,musical|the muppets|robot|oil tycoon|studio tour,103,Comedy|Family|Music,Walt Disney Pictures,328,6.4,2011
27000000,85564310,Spy Kids: All the Time in the World,Robert Rodriguez,spy|child hero|secret agent|espionage,89,Family|Comedy|Action,Dimension Films,125,4.5,2011
9500000,120000,Trust,David Schwimmer,rape|obsession|lie|job|independent film,104,Crime|Drama|Thriller,Nu Image Films|Millennium Films|Dark Harbor Stories,164,6.5,2011
0,0,A Good Old Fashioned Orgy,Alex Gregory|Peter Huyck,beach|gay kiss|orgy|cow|swimming pool,95,Comedy,Endgame Entertainment|Aura Film Partnership|Fierce Entertainment,47,6.0,2011
0,34710627,Jane Eyre,Cary Fukunaga,smoking|man-woman relation|painting|friendship|prayer,120,Drama|Romance,BBC Films|Ruby Films,225,6.9,2011
17000000,12355798,Seeking Justice,Roger Donaldson,playing chess,105,Action|Drama|Thriller,Endgame Entertainment|Maguire Entertainment|Ram Bergman Productions|Aura Film Partnership|Fierce Entertainment,171,5.9,2011
40000000,45735397,Arthur,Jason Winer,nanny|remake|character name in title|billionaire|star wars spoof scene,110,Comedy|Romance,Warner Bros.,180,5.3,2011
0,0,Marley & Me: The Puppy Years,Michael Damian,puppy,86,Family|Comedy|Adventure,20th Century Fox,24,5.7,2011
0,0,Jackass 3.5,Jeff Tremaine,male nudity|snake|buffalo|costume|electric shock,85,Comedy|Documentary|Action,Paradise F.X. Corp.,107,6.2,2011
25000000,27122040,The Eagle,Kevin Macdonald,roman empire|slavery|ancient rome|eagle|honor,114,Adventure|Drama,Toledo Productions|Film4|Focus Features|Prime Focus|Twins Financing,252,5.9,2011
25000000,34942188,The Sitter,David Gordon Green,babysitting|duringcreditsstinger,81,Comedy,Twentieth Century Fox Film Corporation,213,5.4,2011
2000000,42070,Rundskop,MichaÃ«l R. Roskam,cattle|farmer,124,Crime|Drama,Waterland|Waterland Film|Artemis|Savage Films,56,7.5,2011
0,0,Violet & Daisy,Geoffrey Fletcher,assassin|hitman|teenage girl|best friend|hired gun,88,Thriller|Crime|Drama|Action|Comedy,Greenestreet Films|Magic Violet,50,6.1,2011
15000000,868439,W.E.,Madonna,auction|beating|bathtub|clothes|woman director,119,Drama|Romance,IM Global|Semtex Films,43,5.8,2011
0,0,La luna,Enrico Casarosa,moon|tradition|pixar animated short|coming of age|discovery,7,Animation|Comedy|Family|Fantasy,Pixar Animation Studios,171,7.9,2011
0,175706,Butter,Jim Field Smith,iowa|butter,90,Comedy,Michael De Luca Productions|Vandalia Films,77,5.9,2011
0,0,11/11/11,Darren Lynn Bousman,brother brother relationship,90,Horror|Thriller,Canonigo Films|Black Flag|Capacity Pictures,34,4.6,2011
0,0,Geek Charming,Jeffrey Hornaday,geek|high school|teenager|popularity|unlikely lovers,97,Comedy|Drama|Family|TV Movie,"Mandeville Films|Bad Angels Productions, Ltd.",104,6.0,2011
750000,78396,The Innkeepers,Ti West,anti terror|terror|beer|supernatural|towel,102,Horror|Thriller,Glass Eye Pix|Dark Sky Films,104,5.2,2011
8000000,163265,Restless,Gus Van Sant,japanese|sadness|book|funeral|young people,91,Drama|Romance,Columbia Pictures|Imagine Entertainment|360 Pictures,93,6.3,2011
0,0,A Princess for Christmas,Michael Damian,holiday|servant|butler|prince|castle,89,Comedy|Drama|Family,Motion Picture Corporation of America (MPCA)|Riviera Films,34,6.5,2011
7700000,1072602,Coriolanus,Ralph Fiennes,senate|general|market|tragedy|rivalry,123,Drama|Thriller,BBC Films|Synchronistic Pictures|Icon Entertainment International|Lipsync Productions|Atlantic Swiss Productions,76,5.7,2011
35000000,84606030,J. Edgar,Clint Eastwood,biography|historical figure|fbi director,137,Drama|Crime|History,Imagine Entertainment|Malpaso Productions|Wintergreen Productions,428,5.8,2011
30000000,108609310,Sanctum,Alister Grierson,cave|water|adventure,108,Action|Thriller,Universal Pictures|Wayfare Entertainment|Sanctum Australia|Relativity Media|Great Wight Productions/ Osford Films,193,5.7,2011
24000000,30551495,I Don't Know How She Does It,Douglas McGrath,pregnancy|claim in title|family vacation|widower|working mum,89,Comedy,The Weinstein Company,94,5.2,2011
15000000,27462041,A Dangerous Method,David Cronenberg,based on novel|psychoanalysis|sigmund freud|biography|spanking,99,Drama|Thriller,Recorded Pictures Company|The Movie Network|Millbrook Pictures|Prospero Pictures|Lago Film,308,5.9,2011
18000000,47088990,Soul Surfer,Sean McNamara,competition|based on novel|shark attack|surfing|biography,106,Action|Drama,Mandalay Pictures|TriStar Pictures|Brookwell-McNamara Entertainment|FilmDistrict|Affirm Films,225,6.9,2011
28000000,40547440,30 Minutes or Less,Ruben Fleischer,pizza delivery|adventure|pizza boy|number in title|comedy,83,Action|Comedy|Adventure,Columbia Pictures,337,5.5,2011
4798235,209696,The Awakening,Nick Murphy ,suicide|england|classroom|investigation|supernatural,107,Drama|Horror|Thriller,BBC Films|Studio Canal|Creative Scotland|Origin Pictures|Lipsync Productions,243,6.2,2011
30000000,13521829,Hoodwinked Too! Hood VS. Evil,Mike Disa,witch|wolf|little red riding hood|sequel|computer animation,86,Comedy|Animation|Family,HW Two,86,4.9,2011
0,72689,Detachment,Tony Kaye,classroom|grandfather|face slap|falsely accused|unhappiness,97,Drama,Appian Way|Kingsgate Films|Paper Street Films,181,7.1,2011
0,0,Carjacked,John Bonito,robber|one word title,89,Action|Thriller,Hollywood Media Bridge,18,5.1,2011
0,0,Batman: Year One,Sam Liu|Lauren Montgomery,dc comics|superhero|based on comic book|police corruption|based on graphic novel,64,Action|Adventure|Animation|Science Fiction|Crime,DC Comics|Warner Bros. Animation|Warner Premiere,161,7.1,2011
7000000,0,Blue Crush 2,Mike Elliott,ocean|nightclub|south africa|surfing|sequel,113,Drama|Romance,Imagine Entertainment|Universal Studios Home Entertainment|Moonlighting Films,21,5.2,2011
0,0,Hick,Derick Martini,child abandonment|duringcreditsstinger,99,Comedy|Drama,Stone River Productions|Taylor Lane Productions|Lighthouse Home Entertainment,96,5.7,2011
20000000,17479,5 Days of War,Renny Harlin,number in title|digit in title,113,War|Drama,Midnight Sun Pictures|Dispictures|Georgia International Films|Rex Media,29,5.9,2011
8000000,0,Assassination Games,Ernie Barbarash,fight|anti hero|karate|blood splatter|drug cartel,101,Action,Mediapro Studios|Motion Picture Corporation of America (MPCA)|Rodin Entertainment,54,5.8,2011
38000000,114156230,Water for Elephants,Francis Lawrence,clown|elephant trainer|veterinary,120,Drama|Romance,Ingenious Media|Dune Entertainment|Fox 2000 Pictures|Flashpoint Entertainment|Big Screen Productions,558,6.7,2011
50000000,38502340,Dream House,Jim Sheridan,two word title|house fire|extension ladder|last day on job,92,Drama|Thriller|Mystery,Cliffjack Motion Pictures|Morgan Creek Productions,235,5.9,2011
10000000,1759252,A Better Life,Chris Weitz,california|garden|immigrant|truck|illegal immigrant,98,Drama,Summit Entertainment|Witt/Thomas Productions|Depth of Field|McLaughlin Films|Lime Orchard Productions,27,6.6,2011
1,1378,"Love, Wedding, Marriage",Dermot Mulroney,wedding vows|marriage|love,90,Comedy|Romance,120dB Films|Scion Films|Voodoo Production Services|Chydzik Media Group|First Wedding Productions,55,5.3,2011
12000000,972512,Rampart,Oren Moverman,confession|one-night stand|title spoken by character|police corruption|racial violence,108,Crime|Drama|Action|Thriller,Lightstream Pictures|Waypoint Entertainment|TheThird Mind Pictures|Amalgam Features,63,5.2,2011
0,3538446,Martha Marcy May Marlene,Sean Durkin,sexual abuse|cult|boundary violations,101,Drama|Thriller,Cunningham & Maybach Films|FilmHaven Entertainment|BorderLine Films|This Is That Productions,140,6.6,2011
5000000,3099314,Take Shelter,Jeff Nichols,shelter|end of the world|sanity|apocalypse,120,Thriller|Drama,Hydraulx|REI Capital|Grove Hill Productions|Strange Matter Films,248,6.9,2011
8000000,10130000,Prom,Joe Nussbaum,single parent|waitress|fountain|friendship|high school,104,Comedy,Walt Disney Pictures|Rickshaw Productions,78,5.8,2011
0,22321,Tyrannosaur,Paddy Considine,pub|urination,93,Drama|Romance,WarpX|Inflammable Films,49,7.1,2011
0,8452,Snowtown,Justin Kurzel,south australia,119,Crime|Drama|Horror|Thriller,South Australian Film Corporation|Screen Australia|Warp Films Australia,46,6.3,2011
4317946,14624826,Pina,Wim Wenders,one word title|choreographer|choreography|modern dance,106,Documentary,Neue Road Movies|Zweites Deutsches Fernsehen (ZDF)|ARTE|Eurowide Film Production|Recorded Picture Company (RPC),48,7.2,2011
0,0,Air Mater,Rob Gibbs,flying|pixar animated short|animation|car|talking car,6,Animation|Family,Pixar Animation Studios,21,5.8,2011
0,0,JÃ¤garna 2,Kjell Sundvall,rural setting|nordic noir,129,Crime|Thriller|Mystery,Filmpool Nord|Sonet Film AB|Harmonica Films,13,6.3,2011
1000000,34522221,Courageous,Alex Kendrick,father|faith,129,Drama,TriStar Pictures|Provident Films|Affirm Films|Sherwood Pictures|Alabama Production Group,51,6.7,2011
0,0,Sound of My Voice,Zal Batmanglij,journalist|independent film|hand clapping game|cult leader,85,Science Fiction|Drama|Mystery,Skyscraper Films,46,5.7,2011
0,0,Born To Race,Alex Ranarivelo,car race,99,Action,American Cinema International|ESX Productions,27,5.7,2011
0,0,Beethoven's Christmas Adventure,John Putch,holiday|christmas,90,Comedy|Family,Universal Pictures,13,5.4,2011
10000000,3665069,Killer Joe,William Friedkin,female nudity|pedophilia|deal|sexual humiliation|character name in title,102,Drama|Thriller,Voltage pictures|Worldview Entertainment|ANA Media|Picture Perfect (I),196,6.3,2011
0,0,Small Fry,Angus MacLane,fast food restaurant|toys|fast food,7,Animation|Adventure|Comedy|Family|Fantasy,Pixar Animation Studios,89,6.8,2011
0,0,TRON: The Next Day,Kurt Mattila,revolutinoary,10,Science Fiction|Thriller,Walt Disney Pictures,26,5.0,2011
32000000,83615414,"Big Mommas: Like Father, Like Son",John Whitesell,undercover|fbi|sequel|comedy|disguise,107,Crime|Comedy|Action,Twentieth Century Fox Film Corporation|Regency Enterprises|New Regency Pictures|The Collective Studios|Runteldat Entertainment,223,5.4,2011
1000000,0,Grave Encounters,Stuart Ortiz|Colin Minihan,camcorder|reality|insane asylum|paranormal|haunting,92,Thriller|Horror,Darclight|Twin Engine Films|Digital Interference Productions,204,6.0,2011
350000,0,Hellraiser: Revelations,VÃ­ctor GarcÃ­a,pinhead|demon|puzzle box|cenobites,75,Horror,Puzzlebox Films,30,2.9,2011
3500000,0,Green Lantern: Emerald Knights,Chris Berkeley|Lauren Montgomery|Jay Oliva,superhero|based on comic book|character name in title|super powers|woman director,84,Action|Adventure|Animation|Science Fiction,DC Comics|Warner Bros. Animation|Warner Premiere,82,6.5,2011
93,2500000,From Prada to Nada,Angel Gracia,tattoo|cooking|bankrupt|sacrifice|latina,107,Comedy|Drama|Romance,Lewis Gilbert Productions|Lionsgate|Modern VideoFilm,47,5.2,2011
0,0,Juan de los Muertos,Alejandro BruguÃ©s,dark comedy|zombies|splatter|zombie killer,100,Horror|Comedy,Instituto Cubano del Arte e Industrias CinematogrÃ¡ficos (ICAIC)|TelevisiÃ³n EspaÃ±ola (TVE)|Canal Sur TelevisiÃ³n|La ZanfoÃ±a Producciones|Producciones de la 5ta Avenida,50,6.2,2011
37000000,95404397,Dolphin Tale,Charles Martin Smith,dolphin|boy|animal in title|trap|summer,113,Drama|Family,Alcon Entertainment|Arc Productions,103,6.6,2011
0,0,Sharpay's Fabulous Adventure,Michael Lembeck,new york|musical|spin off|broadway show,90,Music,Walt Disney Pictures|Disney Channel|Blondie Girl Productions,62,5.0,2011
0,0,Mean Girls 2,Melanie Mayron,woman director,96,Comedy,Paramount Famous Productions,156,5.1,2011
0,34564651,Salmon Fishing in the Yemen,Lasse HallstrÃ¶m,bureaucracy|wife husband relationship|desert|salmon|arab,107,Drama,BBC Films|Lionsgate|UK Film Council|CBS Films|Davis Films,202,6.3,2011
29000000,33662874,Xin shao lin si,Benny Chan,monk|china|martial arts|kung fu|warlord,131,Action|Drama,Emperor Motion Pictures|China Film Group Corporation (CFGC),59,6.4,2011
0,0,The Woman,Lucky McKee,female nudity|wound|suffering|sadism|sequel,102,Horror,ModerncinÃ©,69,5.9,2011
125000000,626137675,Fast Five,Justin Lin,brazil|fbi|death of a friend|freedom|escape from prison,130,Action|Thriller|Crime,Universal Pictures|Original Film|One Race Productions,1591,7.1,2011
500000,0,Judas Kiss,J.T. Tepnapa,gay kiss|film maker|one-night stand|kiss,94,Drama|Science Fiction,TLA Releasing|Blue Seraph Productions,13,5.9,2011
10000000,303877,In the Land of Blood and Honey,Angelina Jolie,muslim|sister sister relationship|sarajevo|bosnian war of 1992-1995|interracial romance,127,Drama|Romance|War,FilmDistrict,31,6.6,2011
0,0,Phineas and Ferb the Movie: Across the 2nd Dimension,Dan Povenmire|Robert Hughes,brother brother relationship|monster|one-sided love|secret agent|alternate dimension,78,Animation|Comedy|Family|TV Movie,Walt Disney Pictures|Walt Disney Television Animation,71,6.7,2011
0,0,The Caller,Matthew Parkhill,female nudity|sex scene|female stalker|anonymous telephone call|divorcee,92,Horror|Thriller|Mystery,Head Gear Films|Alcove Entertainment|Pimienta|The Salt Company International|Metrol Technology,33,5.0,2011
0,0,Le Skylab,Julie Delpy,family relationships|comedy|woman director,113,Comedy,The Film,12,6.3,2011
6600000,37710610,Jumping the Broom,Salim Akil,african american|wedding|class differences|martha's vineyard,112,Comedy,TriStar Pictures|Stage 6 Films|Sony Pictures Worldwide Acquisitions (SPWA)|TDJ Enterprises / New Dimensions Entertainment|Our Stories Films,37,6.3,2011
0,0,Lemonade Mouth,Patricia Riggen,guitar|cat|narration|musical|violin,106,Family,Martin Chase Productions,87,6.8,2011
2000000,13101672,Silent House,Chris Kentis|Laura Lau,supernatural|remake|suspense|beer bottle|real time,85,Horror|Mystery,Elle Driver|Tazora Films,63,5.2,2011
0,1188194,Kill the Irishman,Jonathan Hensleigh,mafia|car explosion|reference to richard nixon|garbage truck|longshoreman,106,Action|Crime|Thriller|Drama,Anchor Bay Films|Dundee Entertainment|Code Entertainment|Sweet William Productions,81,6.8,2011
0,0,Too Big to Fail,Curtis Hanson,wall street|finances|financial crisis,97,Drama,Spring Creek Productions|Deuce Three Productions|HBO Films,29,6.9,2011
8000000,100915,Wuthering Heights,Andrea Arnold,based on novel|foster sister|moor|yorkshire england|foster family,129,Drama|Romance,Ecosse Films|Film4 Productions,36,5.6,2011
